ATPAF1_NM_001042546	11383	11671	9352	10233	11742	8649	7050	10666	10264	10186	8528
ATPAF1_NM_001243728	13247	13565	10983	11996	13891	10114	8338	12629	12027	11908	10043
ATPAF1_NM_001256418	13744	14058	11308	12441	14388	10440	8631	13027	12437	12411	10372
ATPAF1_NM_022745	13492	13819	11174	12208	14073	10290	8444	12825	12187	12108	10185
ATPAF1_NR_045030	13744	14058	11308	12441	14388	10440	8631	13027	12437	12411	10372
ATPIF1_NM_016311	15366	13904	11457	15619	17215	10386	6684	10534	12084	15115	8742
ATPIF1_NM_178190	15484	14008	11624	15650	17337	10445	6748	10633	12122	15282	8840
ATPIF1_NM_178191	13394	12058	10425	13056	14675	8850	6111	9511	10365	13050	7759
ATXN7L2_NM_153340	705	972	482	758	759	558	890	691	540	588	469
AURKAIP1_NM_001127229	17487	16265	14446	17780	26327	13389	12559	12823	15206	16321	10959
AURKAIP1_NM_001127230	17061	15920	14152	17334	25687	13070	12230	12530	14937	15944	10717
AURKAIP1_NM_017900	16770	15756	14008	17146	25422	12925	12085	12393	14810	15761	10585
AURKAPS1_NR_001587	150	120	190	141	461	134	139	203	107	147	147
AVPR1B_NM_000707	0	0	0	0	0	0	0	0	0	0	0
AXDND1_NM_144696	9	4	1	0	7	6	21	4	11	14	12
B3GALNT2_NM_152490	6592	9524	4296	6675	8142	6302	4784	7775	6447	8340	5557
B3GALT2_NM_003783	3060	1673	2609	3644	764	2602	1940	2176	5683	8242	1042
B3GALT6_NM_080605	5387	7012	3926	7409	6602	5519	6494	7019	6166	5568	3780
B4GALT2_NM_001005417	45131	45653	32639	40427	47687	39658	37191	43186	42365	34596	29082
B4GALT2_NM_003780	45180	45683	32668	40466	47703	39680	37213	43206	42403	34603	29116
B4GALT2_NM_030587	45103	45625	32605	40417	47677	39646	37178	43180	42362	34579	29081
B4GALT3_NM_001199873	5560	4918	4472	6177	5571	5122	4903	4231	6471	7599	2979
B4GALT3_NM_001199874	5497	4851	4402	6089	5487	5058	4820	4163	6366	7494	2944
B4GALT3_NM_003779	5540	4904	4460	6152	5556	5103	4883	4223	6444	7578	2970
BAI2_NM_001703	1205	2755	1466	2374	1799	2354	3634	2329	1351	1512	1965
BARHL2_NM_020063	0	0	0	0	0	0	0	0	0	0	0
BATF3_NM_018664	40	73	29	932	161	52	39	67	35	85	87
BCAN_NM_021948	66	9	30	15	5	17	18	1	8	8	11
BCAN_NM_198427	27	1	9	0	0	3	10	0	3	2	1
BCAR3_NM_003567	11543	6408	10897	7083	24711	8951	12403	17131	13572	17869	9016
BCAS2_NM_005872	8489	7197	5452	5918	9412	5428	2242	5852	6634	8881	5294
BCL10_NM_003921	4441	4556	3759	2937	6255	3400	3313	4786	3456	3975	4724
BCL2L15_NM_001010922	15	11	2	11	9	13	12	33	2	11	0
BCL9_NM_004326	1888	2204	1720	2197	1393	1763	1798	2430	2095	1951	1496
BEND5_NM_024603	483	174	34	14	101	515	293	496	442	406	653
BEST4_NM_153274	20	41	9	30	56	32	33	51	11	24	20
BGLAP_NM_199173	851	851	326	649	604	651	515	649	592	544	515
BLZF1_NM_003666	5169	5346	3831	3209	6394	3613	1828	4486	5154	5643	3721
BMP8A_NM_181809	44	213	101	130	79	168	196	202	84	106	73
BMP8B_NM_001720	75	138	38	139	483	159	58	166	69	56	123
BNIPL_NM_001159642	11	16	14	12	27	1	0	15	8	2	21
BNIPL_NM_138278	11	16	12	12	25	1	0	15	8	2	21
